479795200,0.863
475212800,0.846
484416000,0.855
470284800,0.848
465369600,0.857
494016000,0.859
498739200,0.88
508518400,0.853
513382400,0.846
503616000,0.85
532953600,0.866
528038400,0.864
596697600,0.875
601612800,0.897
591782400,0.88
586867200,0.887
606208000,0.879
615961600,0.883
611046400,0.885
620761600,0.9
635212800,0.895
640000000,0.897
630387200,0.884
644659200,0.886
625548800,0.901
581939200,0.903
654323200,0.899
649408000,0.899
577024000,0.884
673830400,0.9
678694400,0.902
683571200,0.908
717785600,0.906
712870400,0.914
722572800,0.921
707968000,0.9
727347200,0.906
703091200,0.906
698201600,0.9
693299200,0.916
688409600,0.902
731916800,0.907
668902400,0.899
663974400,0.905
659072000,0.91
736601600,0.92
572096000,0.886
567193600,0.873
746252800,0.908
751116800,0.906
755904000,0.915
741337600,0.915
562265600,0.887
760627200,0.9
557363200,0.871
552409600,0.855
765440000,0.915
547494400,0.871
542579200,0.882
770252800,0.918
537651200,0.855
523136000,0.874
775052800,0.906
518233600,0.855
489126400,0.861
779878400,0.916
460787200,0.856
456204800,0.833
784704000,0.92
451558400,0.847
446643200,0.844
789516800,0.92
441728000,0.841
436864000,0.852
794329600,0.92
432115200,0.827
427200000,0.841
799142400,0.918
422272000,0.824
417344000,0.827
803968000,0.924
412428800,0.83
407590400,0.825
808780800,0.935
402688000,0.844
397747200,0.828
813606400,0.925
392832000,0.851
387891200,0.827
818432000,0.922
382963200,0.809
378035200,0.849
823244800,0.899
373107200,0.82
368179200,0.842
828044800,0.939
363264000,0.813
358323200,0.815
832857600,0.91
353408000,0.818
348467200,0.822
837696000,0.936
343552000,0.828
338624000,0.795
842534400,0.936
333696000,0.83
328768000,0.817
847347200,0.921
323852800,0.809
318912000,0.812
852006400,0.913
313984000,0.817
309043200,0.823
856652800,0.917
304128000,0.805
299174400,0.81
861337600,0.923
294259200,0.781
289318400,0.786
866009600,0.929
284403200,0.775
279488000,0.775
870771200,0.913
274560000,0.775
269644800,0.776
875622400,0.938
264716800,0.811
259865600,0.777
